Title,Time,Artist,Album,Genre
String,Num,String,String,String
Rolling in the Deep,3.48,Adele,21,Pop
Someone Like You,4.44,Adele,21,Pop
Across the Universe,3.50,The Beatles,The Beatles 1967-1970,Rock
Like Toy Soldiers,4.57,Eminem,Encore,Rap
Mockingbird,4.11,Eminem,Encore,Rap
Suddenly I See,3.22,KT Tunstall,Eye to the Telescope,Pop
Sober,4.12,P!nk,Funhouse,Pop
Glitter In the Air,3.48,P!nk,Funhouse,Pop
21 Guns,5.21,Green Day,21st Century Breakdown,Alternative
Chasing Cars,4.25,Snow Patrol,Eyes Open,Alternative
